"","Fungal","Male","Diet","day","est","lower","upper","Treatment","Sex"
"137",1,1,"CY/CY",6,0.970684413163158,0.960891542055563,0.982790031032593,"Fungal","Male"
"138",1,1,"CY/CY",7,0.953858029971934,0.940200102914401,0.96792052199799,"Fungal","Male"
"139",1,1,"CY/CY",8,0.930319155861129,0.911613565749086,0.950019216666594,"Fungal","Male"
"140",1,1,"CY/CY",9,0.901561120772519,0.875304476688868,0.927963217631491,"Fungal","Male"
"141",1,1,"CY/CY",10,0.847658440558451,0.816848283570265,0.880617697554654,"Fungal","Male"
"142",1,1,"CY/CY",11,0.789905815340612,0.751577559519787,0.828013168954383,"Fungal","Male"
"143",1,1,"CY/CY",12,0.730304567536333,0.68173912114909,0.778050578601344,"Fungal","Male"
"144",1,0,"CY/CY",0,1,NA,NA,"Fungal","Female"
"145",1,0,"CY/CY",1,0.996951387159163,0.992744800007023,0.999341241650849,"Fungal","Female"
"146",1,0,"CY/CY",2,0.995797445983595,0.990151029015433,0.99917130411003,"Fungal","Female"
"147",1,0,"CY/CY",3,0.994943054426295,0.988220170941402,0.999002267443628,"Fungal","Female"
"148",1,0,"CY/CY",4,0.993633707005801,0.985339092877705,0.998763690044008,"Fungal","Female"
"149",1,0,"CY/CY",5,0.986700979336156,0.978218155571576,0.992802006576363,"Fungal","Female"
"150",1,0,"CY/CY",6,0.973960827980203,0.963750439513839,0.982821222029766,"Fungal","Female"
"151",1,0,"CY/CY",7,0.951699608201196,0.935518402016424,0.96470117279984,"Fungal","Female"
"152",1,0,"CY/CY",8,0.920769884739009,0.896864921276848,0.942814662569242,"Fungal","Female"
"153",1,0,"CY/CY",9,0.883323602065138,0.850449477332042,0.913267514532119,"Fungal","Female"
"154",1,0,"CY/CY",10,0.822568307818251,0.789289311209578,0.853826626031799,"Fungal","Female"
"155",1,0,"CY/CY",11,0.758139906152852,0.719363024297885,0.795947954005537,"Fungal","Female"
"156",1,0,"CY/CY",12,0.692415890640414,0.642810413334292,0.735286842159339,"Fungal","Female"
"157",1,1,"CY/C",0,1,NA,NA,"Fungal","Male"
"158",1,1,"CY/C",1,0.992360205755874,0.988988316900021,0.996144890705749,"Fungal","Male"
"159",1,1,"CY/C",2,0.989477636311385,0.98439160902932,0.994488084529194,"Fungal","Male"
