"","Treatment","Diet","Sex","day","est","lower","upper"
"170","Fungal","CY1.0","M",0,1,1,1
"171","Fungal","CY1.0","M",1,0.996166897273723,0.994435477774662,0.997438796798238
"172","Fungal","CY1.0","M",2,0.994393035280788,0.991762423653946,0.995953955393431
"173","Fungal","CY1.0","M",3,0.992282841948705,0.988910600225287,0.994296478719922
"174","Fungal","CY1.0","M",4,0.990411530563553,0.986318030050016,0.99285610232404
"175","Fungal","CY1.0","M",5,0.986733187113632,0.982916560877511,0.989347429704917
"176","Fungal","CY1.0","M",6,0.980995647689856,0.976349329042072,0.98431804061929
"177","Fungal","CY1.0","M",7,0.969273891855154,0.963118115300685,0.973552153850577
"178","Fungal","CY1.0","M",8,0.957327434582047,0.949826591196736,0.963267193213625
"179","Fungal","CY1.0","M",9,0.942233579143678,0.932583263312503,0.950680900590395
"180","Fungal","CY1.0","M",10,0.917244196441396,0.905027239162952,0.927468033410914
"181","Fungal","CY1.0","M",11,0.885609339308209,0.869170106741642,0.899367080135815
"182","Fungal","CY1.0","M",12,0.854229403960286,0.836012440128373,0.871937630663394
"183","Fungal","CY1.5","M",0,1,1,1
"184","Fungal","CY1.5","M",1,0.995172190670197,0.993330534432934,0.996733856252463
"185","Fungal","CY1.5","M",2,0.992939637844611,0.990556014042909,0.994706449034016
"186","Fungal","CY1.5","M",3,0.990285133125689,0.987378051197324,0.99272845631861
"187","Fungal","CY1.5","M",4,0.987932356597362,0.984566057080963,0.991074289768435
"188","Fungal","CY1.5","M",5,0.98331099238918,0.979466123657412,0.986738903618158
"189","Fungal","CY1.5","M",6,0.976111461135756,0.97202365311359,0.979674065870713
"190","Fungal","CY1.5","M",7,0.961436939592524,0.955739124816731,0.9665030592909
"191","Fungal","CY1.5","M",8,0.94652854250757,0.938970304381593,0.953534366480246
"192","Fungal","CY1.5","M",9,0.92776154464265,0.918174362476711,0.937611518332225
"193","Fungal","CY1.5","M",10,0.896862924137706,0.884253629987926,0.908303867600541
"194","Fungal","CY1.5","M",11,0.858060939794056,0.841179341474636,0.87160295100174
"195","Fungal","CY1.5","M",12,0.819926231651294,0.800177575056853,0.836874331149609
"196","Fungal","C","M",0,1,1,1
"197","Fungal","C","M",1,0.994370295808073,0.991588311880338,0.99588411927224
"198","Fungal","C","M",2,0.991768454460225,0.988268429288836,0.994218010591679
"199","Fungal","C","M",3,0.988676133791678,0.984247095358504,0.991947772037617
"200","Fungal","C","M",4,0.985936460170664,0.980873534561554,0.989837435791958
"201","Fungal","C","M",5,0.977952063232399,0.972330214391223,0.982302908035757
"202","Fungal","C","M",6,0.965568141275679,0.958438113715355,0.970528921192861
"203","Fungal","C","M",7,0.940533708681907,0.930232789586369,0.948452265955473
"204","Fungal","C","M",8,0.915385977848163,0.902039079471864,0.928680541287474
"205","Fungal","C","M",9,0.884140721964672,0.864803579741561,0.902275469858411
"206","Fungal","C","M",10,0.825639937019522,0.800882757495437,0.844551409672155
"207","Fungal","C","M",11,0.755039880652922,0.729618692477376,0.774981903789374
"208","Fungal","C","M",12,0.688758507538681,0.660687213688966,0.712337788785838
